"Sample","Origin"
"B010","Panama"
"B011_B012","Panama"
"B020","Panama"
"B029_B030","Panama"
"B030","Panama"
"B033_B034","Panama"
"B035_B036","Panama"
"B037_B038","Panama"
"B039_B040","Panama"
"B040","Panama"
"B043_B044","Panama"
"B045_B046","Panama"
"B047_B048","Panama"
"B050","Panama"
"B051_B052","Panama"
"B060","Panama"
"B070","Panama"
"B080","Panama"
"B081_B082","Panama"
"B090","Panama"
"B100","Panama"
"B129_B130","Panama"
"B135_B136","Panama"
"B143_B144","Panama"
"B145_B146","Panama"
"B163_B164","Panama"
"B175_B176","Panama"
"B177_B178","Panama"
"B183_B184","Panama"
"B185_B186","Panama"
"B193_B194","Panama"
"B199_B200","Panama"
"L001_L002","Costa Rica"
"L005_L006","Costa Rica"
"L007_L008","Costa Rica"
"L010","Costa Rica"
"L011_L012","Costa Rica"
"L013_L014","Costa Rica"
"L015_L016","Costa Rica"
"L018","Costa Rica"
"L019_L020","Costa Rica"
"L020","Costa Rica"
"L021_L022","Costa Rica"
"L023_L024","Costa Rica"
"L025_L026","Costa Rica"
"L027_L028","Costa Rica"
"L030","Costa Rica"
"L031_L032","Costa Rica"
"L035_L036","Costa Rica"
"L037_L038","Costa Rica"
"L039_L040","Costa Rica"
"L040","Costa Rica"
"L041_L042","Costa Rica"
"L043_L044","Costa Rica"
"L045_L046","Costa Rica"
"L049_L050","Costa Rica"
"L050","Costa Rica"
"L051_L052","Costa Rica"
"L053_L054","Costa Rica"
"L055_L056","Costa Rica"
"L057_L058","Costa Rica"
"L059_L060","Costa Rica"
"L060","Costa Rica"
"L061_L062","Costa Rica"
"L063_L064","Costa Rica"
"L065_L066","Costa Rica"
"L067_L068","Costa Rica"
"L069_L070","Costa Rica"
"L070","Costa Rica"
"L071_L072","Costa Rica"
"L073_L074","Costa Rica"
"L075_L076","Costa Rica"
"L077_L078","Costa Rica"
"L079_L080","Costa Rica"
"L080","Costa Rica"
"L081_L082","Costa Rica"
"L083_L084","Costa Rica"
"L085_L086","Costa Rica"
"L089_L090","Costa Rica"
"L090","Costa Rica"
"L092","Costa Rica"
"L093_L094","Costa Rica"
"L095_L096","Costa Rica"
"L097_L098","Costa Rica"
"L099_L100","Costa Rica"
"L100","Costa Rica"
"L101_L102","Costa Rica"
"L103_L104","Costa Rica"
"L109_L110","Costa Rica"
"L115_L116","Costa Rica"
"L117_L118","Costa Rica"
"L119_L120","Costa Rica"
"L123_L124","Costa Rica"
"L125_L126","Costa Rica"
"L129_L130","Costa Rica"
"L131_L132","Costa Rica"
"L137_L13","Costa Rica"
"L139_L140","Costa Rica"
"L145_L146","Costa Rica"
"L151_L152","Costa Rica"
"L155_L156","Costa Rica"
"L159_L160","Costa Rica"
"L161_L162","Costa Rica"
"L165_L166","Costa Rica"
"L171_L172","Costa Rica"
"L173_L174","Costa Rica"
"L175_L176","Costa Rica"
"L177_L178","Costa Rica"
"L179_L180","Costa Rica"
"L181_L182","Costa Rica"
"L183_L184","Costa Rica"
"L185_L186","Costa Rica"
"L187_L188","Costa Rica"
"L189_L190","Costa Rica"
"L191_L192","Costa Rica"
"L193_L194","Costa Rica"
"L195_L196","Costa Rica"
"L197_L198","Costa Rica"
"L199_L200","Costa Rica"
"T105_T106","Ecuador"
"T107_T108","Ecuador"
"T109_T110","Ecuador"
"T111","Ecuador"
"T125_T126","Ecuador"
"T127_T128","Ecuador"
"T143_T144","Ecuador"
"T151_T152","Ecuador"
"T154","Ecuador"
"T159_T160","Ecuador"
"T163_T164","Ecuador"
"T165","Ecuador"
"T167_T168","Ecuador"
"T169_T170","Ecuador"
"T171_T172","Ecuador"
"T175_T176","Ecuador"
"T177_T178","Ecuador"
"T179_T180","Ecuador"
"T182","Ecuador"
"T185_186","Ecuador"
"T194","Ecuador"
"T197_T198","Ecuador"
"T199_T200","Ecuador"
